Tag;Equipamento
00355;Pulverizador manual
00356;Soproaspirador
00357;Motor 7.5 CV
00358;Motor 7.5 CV
00359;Motor 7.5 CV
00360;Motor elétrico 4
00361;Motor elétrico 5
00362;Motor elétrico 6
00363;Motor 3 CV
00364;Hidrômetro
00365;Banco de capacitores
00366;Mesa inox 1
00367;Mesa inox 2
00368;Exaustor
00374;Ventilador 2
00375;Ventilador 3
00376;Exaustor 1
00377;Exaustor 2
00378;Exaustor 1
00379;Exaustor 2
00380;Exaustor 3
00381;Exaustor 4
00382;Exaustor 5
00383;Exaustor 6
00395;Notebook Karen
00406;Embalagem
00407;Expedição
00410;Paleteira inox
00411;Injetora
00412;Paleteira
00413;Empilhadeira elétrica
00414;Seladora automática em L
00416;Serra circular discos
00417;Clipadeira 2
00418;Seladora de blister
00419;Ar condicionado
00420;Bebedouro
00421;Portão eletrônico
00422;Liquidificador industrial
00423;Máquina de corte 4
00424;Impressora Tesla
00425;Amolador de faca
00427;Seladora registron
00428;Sala de Descongelamento
09979;Cortina de ar
09980;Estação de Tratamento
09981;INTERFONE
09982;Dosadora de Cloro
09983;Motor elétrico 3
09984;Máquina de costura 4
09985;PORTA-COPOS
09986;Tomada
09987;HIDRAULICA
09988;ÁREA FRIA
09989;INTERFONE
09990;Painel elétrico extrusora
09991;SETOR SERRA FITA
09993;MANGUEIRAS
09994;MANGUEIRAS
09995;LUMINOSO MASTIG
09996;Lâmpada led tubular
09997;Lâmpada Bulbo
09998;Biodigestor
99999;Filial Mastig
